simulacion,tiempo_s,velocidad_max_mps,velocidad_max_kmh,masa_kg,cda_m2,crr,empuje_n,exito
5042,1.347,17.92,64.5,0.05256,0.003808,0.01839,9.9,1
5055,1.234,18.95,68.2,0.05179,0.003317,0.01508,9.69,1
5068,1.1885,19.29,69.4,0.05117,0.003312,0.0193,10.26,1
5081,1.0775,21.65,77.9,0.05288,0.002916,0.01721,8.77,1
5094,1.057,21.84,78.6,0.05202,0.003502,0.02127,10.36,1
5107,1.12,20.82,74.9,0.05104,0.003388,0.02061,8.58,1
5120,1.2725,18.11,65.2,0.05136,0.003376,0.01587,9.56,1
5133,1.121,20.8,74.9,0.05103,0.00336,0.02045,10.4,1
5146,1.126,20.86,75.1,0.05222,0.00332,0.02011,10.61,1
5159,1.017,22.79,82.0,0.0523,0.003357,0.02007,10.34,1
5172,1.0925,21.12,76.0,0.05129,0.002878,0.01943,9.01,1
5185,1.386,16.64,59.9,0.05341,0.00311,0.02204,9.25,1
5198,0.9655,23.86,85.9,0.05021,0.002933,0.01744,10.85,1
5211,1.081,21.42,77.1,0.05372,0.003249,0.02055,9.78,1
5224,1.061,22.06,79.4,0.05116,0.003286,0.02283,9.45,1
5237,1.2695,18.4,66.2,0.05225,0.003521,0.02212,9.47,1
5250,0.939,24.21,87.2,0.05198,0.003067,0.02579,12.48,1
5263,1.145,20.13,72.5,0.05194,0.003048,0.02146,9.15,1
5276,1.001,23.07,83.0,0.053,0.003168,0.02213,10.23,1
5289,1.101,20.91,75.3,0.05172,0.003195,0.01479,10.66,1
5302,1.2655,18.3,65.9,0.05092,0.00311,0.01642,9.14,1
5315,0.9785,23.68,85.3,0.05211,0.00266,0.02279,10.09,1
5328,1.172,19.56,70.4,0.05148,0.002601,0.01887,8.83,1
5341,1.0735,21.87,78.7,0.05429,0.003531,0.02423,9.08,1
5354,1.33,17.08,61.5,0.05026,0.00291,0.02287,10.32,1
5367,1.2055,19.05,68.6,0.05273,0.003152,0.0222,9.91,1
5380,1.0885,20.94,75.4,0.05414,0.002995,0.01486,11.06,1
5393,1.07,21.76,78.4,0.05144,0.003478,0.01684,9.16,1
5406,1.0475,22.55,81.2,0.05276,0.004047,0.02363,10.19,1
5419,1.1295,20.69,74.5,0.05325,0.00326,0.02017,8.98,1
5432,1.1035,21.11,76.0,0.05275,0.003578,0.02183,9.06,1
5445,1.398,16.67,60.0,0.05049,0.003505,0.01919,8.83,1
5458,1.04,22.15,79.8,0.05159,0.00275,0.01906,9.52,1
5471,1.1035,21.18,76.3,0.05229,0.003544,0.01773,8.74,1
5484,1.295,17.95,64.6,0.05343,0.00397,0.01912,10.07,1
